hash,num_layers,num_neurons,num_epochs,lr,activation,num_collocation,num_ic,num_bc,weight_pde,weight_ic,weight_inlet_bc,weight_outlet_bc,optimizer,final_total_loss,final_pde_loss,final_ic_loss,final_inlet_bc_loss,final_outlet_bc_loss,training_time_seconds,total_experiment_time_seconds
2dc4ab93,1,64,5000,0.0001,Tanh,2000,500,500,1,1,1,1,Adam,0.15456898510456085,0.007757033687084913,0.04322943463921547,0.06758008897304535,0.03600242733955383,20.636622428894043,23.721490383148193
d22362b0,1,64,5000,0.0001,Tanh,10000,500,500,1,1,1,1,Adam,0.16743262112140656,0.0055015371181070805,0.04916524514555931,0.07671167701482773,0.036054160445928574,62.961790561676025,63.677494049072266
e07869ea,1,64,5000,0.001,Tanh,2000,500,500,1,1,1,1,Adam,0.0697258859872818,0.002580316737294197,0.02096017450094223,0.03245048597455025,0.0137349097058177,18.34822106361389,19.099738597869873
b09176d1,1,64,5000,0.001,Tanh,10000,500,500,1,1,1,1,Adam,0.028208009898662567,0.0011049481108784676,0.00773492269217968,0.014790576882660389,0.004577562212944031,62.0660879611969,62.81512999534607
39241355,2,16,5000,0.0001,Tanh,2000,500,500,1,1,1,1,Adam,0.08651984483003616,0.005971598904579878,0.019345231354236603,0.04615046828985214,0.015052546747028828,21.62752890586853,22.367574214935303
53655c65,2,16,5000,0.0001,Tanh,10000,500,500,1,1,1,1,Adam,0.10735034197568893,0.010465430095791817,0.02263217233121395,0.05611525475978851,0.018137486651539803,39.01535367965698,39.77754092216492
2b68e42b,2,16,5000,0.001,Tanh,2000,500,500,1,1,1,1,Adam,0.009734760038554668,0.0009206040413118899,0.002182184951379895,0.004781365394592285,0.0018506061751395464,20.960861682891846,21.69538116455078
00c1b26b,2,16,5000,0.001,Tanh,10000,500,500,1,1,1,1,Adam,0.014508605934679508,0.0017680844757705927,0.003470818977802992,0.006402906961739063,0.002866795053705573,40.9678270816803,41.72449326515198
52c9ae11,3,12,5000,0.0001,Tanh,2000,500,500,1,1,1,1,Adam,0.05974852293729782,0.007490812335163355,0.014551395550370216,0.02794499136507511,0.009761327877640724,27.76988649368286,28.57547616958618
d0f63c02,3,12,5000,0.0001,Tanh,10000,500,500,1,1,1,1,Adam,0.10883940756320953,0.009577014483511448,0.02047775126993656,0.061284132301807404,0.017500506713986397,48.22901892662048,48.966383934020996
1ae85865,3,12,5000,0.001,Tanh,2000,500,500,1,1,1,1,Adam,0.009576961398124695,0.0016139083309099078,0.0018024197779595852,0.003976000472903252,0.002184632234275341,27.928809642791748,28.71444344520569
920b07e9,3,12,5000,0.001,Tanh,10000,500,500,1,1,1,1,Adam,0.008801324293017387,0.0012881570728495717,0.0017282037297263741,0.0041357483714818954,0.0016492153517901897,48.8695867061615,49.61281085014343
961b7647,3,12,15000,0.001,Tanh,2000,500,500,1,1,1,1,Adam,0.0028649643063545227,0.0006975037977099419,0.00039376612403430045,0.000592985306866467,0.0011807092232629657,84.56442356109619,87.15552544593811
a6e536ed,3,12,15000,0.001,Tanh,5000,500,500,1,1,1,1,Adam,0.004339644219726324,0.0007112085586413741,0.0008202233002521098,0.0011646050261333585,0.0016436075093224645,107.9603362083435,108.74097514152527
a5bc18c3,3,12,15000,0.001,Tanh,10000,500,500,1,1,1,1,Adam,0.005904070101678371,0.0009680405491963029,0.001133300713263452,0.0018652086146175861,0.0019375202246010303,146.00596022605896,146.83182525634766
9eb2cd9d,2,16,15000,0.001,Tanh,2000,500,500,1,1,1,1,Adam,0.005397106520831585,0.0009615632006898522,0.0007854856667108834,0.002007716801017523,0.001642340561375022,63.492777824401855,64.34976148605347
0119defd,2,16,15000,0.001,Tanh,5000,500,500,1,1,1,1,Adam,0.00514801824465394,0.000530990248080343,0.0012320693349465728,0.002286650938913226,0.0010983076645061374,78.75009870529175,79.52268075942993
5398a5d3,2,16,15000,0.001,Tanh,10000,500,500,1,1,1,1,Adam,0.0060176244005560875,0.0010030831908807158,0.0012191837886348367,0.0019112232839688659,0.0018841339042410254,114.34816408157349,115.15512657165527
